question_id;answer;correct
67;Amphitheatrum Flavium;1
67;Basilica Giulia;0
67;Colossus Neronis;0
67;Forum Romanum;0
68;Travertine;1
68;Granite;0
68;Sandstone;0
68;Marble;0
69;Falling popularity among the public;0
69;The Western Roman Empire fell;1
69;Earthquakes and natural disasters;0
69;Funding divestment from Christian leadership;0
70;50,000;0
70;65,000;0
70;100,000;0
70;80,000;1
71;3 million;0
71;2 million;0
71;1.5 million;1
71;1 million;0
72;1868;0
72;1900;0
72;1893;1
72;1890;0
73;500,000;0
73;200,000;0
73;300,000;1
73;150,000;0
74;15;0
74;5;0
74;8;0
74;11;1
75;Beaux-Arts;1
75;French Baroque;0
75;Gothic Revival;0
75;Neoclassical;0
76;Anish Kapoor;1
76;Henry Moore;0
76;Chryssa;0
76;Marshall Fredericks;0
77;Beanie;0
77;The Bean;1
77;Cloud;0
77;Chrome Dome;0
78;2006;1
78;2004;0
78;2010;0
78;2008;0
79;Medieval armor;0
79;Light refraction;0
79;Liquid mercury;1
79;Cloud iridescence;0
80;Stainless steel;1
80;Aluminum;0
80;Tin;0
80;Chromium;0
81;16;1
81;11;0
81;14;0
81;13;0
82;Brutalism;1
82;Collegiate Gothic;0
82;Bauhaus;0
82;Functionalism;0
83;Sparky;1
83;Flameo;0
83;Dylan;0
83;Fuego;0
84;Mid-American Conference;0
84;Ohio Valley Conference;0
84;Horizon League;1
84;Big Sky Conference;0
85;1965;0
85;1982;1
85;1913;0
85;1946;0
86;University of Illinois at Chicago;1
86;University of Chicago;0
86;DePaul University;0
86;Loyal University Chicago;0
87;In honor of US naval veterans;1
87;It used to be a US Navy training center;0
87;It used to be a naval base;0
87;It's architect was a formal naval officer;0
88;1893;0
88;1910;0
88;1920;0
88;1916;1
89;To serve as a naval base;0
89;To serve as a dock and to host recreational activities;1
89;To be a 'Chicago World's Fair' exhibit;0
89;As an amusement park;0
90;2 million;1
90;3 million;0
90;5 million;0
90;8 million;0
91;About 1.2 million;0
91;About 1.4 million;0
91;About 1.3 million;1
91;About 1.1 million;0
92;About 3000 years old;0
92;Over 9000! years old;0
92;About 4000 years old;0
92;About 5000 years old;1
93;It was once a dragon's nest;0
93;It is a landing site for aliens;1
93;It is placed by giants to mark their territory;0
93;It is to give user magical powers;0
94;53;0
94;33;0
94;73;0
94;93;1
95;30 feet;1
95;50 feet;0
95;65 feet;0
95;40 feet;0
96;956 square miles;0
96;1,125 square miles;0
96;1,583 square miles;1
96;1,787 square miles;0
97;May 11, 1910;1
97;May 11, 1985;0
97;May 11, 1934;0
97;May 11, 1945;0
98;Spiritual Park;0
98;Backbone of the world;1
98;Heart of the world;0
98;Warrior's playground;0
99;Glaciers will be completely gone by year 2100;1
99;Glaciers are melting due to climate change;0
99;More likelihood of wildfires and destroying natural habitats;0
99;Introduction of invasive, nonative species;0
100;less than 30;1
100;0;0
100;about 90;0
100;more than 200;0
101;1600 miles;0
101;1500 miles;0
101;1200 miles;0
101;1400 miles;1
102;Timor Sea;0
102;Coral Sea;1
102;Arafura Sea;0
102;Kara Sea;0
103;Above 150 meters of depth;1
103;Below 150 meter of depth;0
103;Above 80 meters of depth;0
103;Below 80 meters of depth;0
104;The reef has not been dying;0
104;Climate Change;1
104;Contamination;0
104;Human invasion;0
105;Around $2 billion Australian dollars;0
105;Around $3 billion Australian dollars;1
105;Around $300 million Australian dollars;0
105;Around $500 million Australian dollars;0
106;Great Coral Reef;0
106;The Gili islands;0
106;Wakatobi Regency;0
106;Coral Triangle;1
107;50%;0
107;95%;0
107;75%;1
107;10%;0
108;Cristobal Columbus;0
108;Hernan Cortez;0
108;Jorge de Menezes;1
108;Juan Ponce de Leon;0
109;From Roman mythology;0
109;From Greek mythology;0
109;From Egyptian mythology;0
109;From Local mythology;1
110;Diverse nature;0
110;Four kings;1
110;The Forgotten Land;0
110;Lost Kingdom;0
